Charge time,Maximum run time,Filtration,Suction Power (Boost Mode),Run time,Suction power,Stock status,Bin volume,Suction power (Powerful mode),Title,Weight (full clean water tank),Run time (Quiet mode),URL,Weight,Type,Price,Suction power (MAX mode),Cyclone technology,Weight (empty clean water tank),Cleaner head,Maximum Reach,Cord length
5 hrs,40 min,,,,,In stock,,,Dyson V7 Advanced,,,https://www.dysoncanada.ca/en/vacuum-cleaners/cordless/v7/advanced,,cordless,499.99,,15 cyclones,,Motorbar? Cleaner head,,,
,,Whole-machine filtration,290 AW,,,In stock,1.7 L,,Ball Animal 3 Total Clean,,,https://www.dysoncanada.ca/en/vacuum-cleaners/uprights/ball-animal-3/total-clean,7.86 kg,uprights,599.99,290 W,12 cyclones,,,,10.67 m,
,,Washable lifetime filter,,,,In stock,,,Dyson Big Ball Total Clean,,,https://www.dysoncanada.ca/en/vacuum-cleaners/canisters/big-ball/total-clean,,canisters,699.99,,,,Carbon fibre turbine head,,Maximum Reach,
,,Advanced whole-machine filtration,,,,In stock,,,Dyson Ball Allergy+,,,https://www.dysoncanada.ca/en/vacuum-cleaners/uprights/ball/allergy-plus,7.89 kg,uprights,699.99,305 W,Radial Root Cyclone? technology,,Advanced self-adjusting cleaner head,14 m,9.2 m,
3.5 hrs,,Whole-machine HEPA filtration,230 AW,Up to 60 min,,In stock,0.77 L,240 W,Dyson V15s Detect Submarine? Absolute,4.1 kg,,https://www.dysoncanada.ca/en/vacuum-cleaners/wet-dry/v15s-detect-submarine/hepa-gold,4.1 kg,wet-dry,1299.99,,14 cyclones,3.8 kg,,,,
2.45 hrs,65 min,Whole-machine HEPA filtration,65 AW,,,In stock,0.57 L,75 W,Dyson 360 Vis Nav?,,65 min,https://www.dysoncanada.ca/en/vacuum-cleaners/robot/360-visnav/blue-nickel,4.5 kg,robot,1499.99,,Radial root cyclone? technology,,Triple-action brush bar,,,
4.5 hrs,140 min,Whole-machine HEPA filtration,,,,In stock,1.9 L,,Dyson Gen5outsize Absolute,,,https://www.dysoncanada.ca/en/vacuum-cleaners/cordless/gen5/outsize-absolute-hepa-prussian-blue-copper,3.9 kg,cordless,1399.99,280 AW,18 cyclones,,,,,
4.5 hrs,70 min,,,,,In stock,,,Dyson Gen5detect Absolute,,,https://www.dysoncanada.ca/en/vacuum-cleaners/cordless/gen5/detect-absolute-hepa-prussian-blue-copper,3.5 kg,cordless,1199.99,,14 cyclones,,,,,
4.5 hrs,60 min,Whole-machine HEPA filtration,,,,In stock,0.76 L,,Dyson V15 Detect Absolute,,,https://www.dysoncanada.ca/en/vacuum-cleaners/cordless/v15/detect-absolute-hepa-gold,3.1 kg,cordless,999.99,220 AW,14 cyclones,,,,,
5 hrs,40 min,Whole-machine HEPA filtration,,,,In stock,0.54 L,,Dyson V8 Absolute,,,https://www.dysoncanada.ca/en/vacuum-cleaners/cordless/v8/absolute-hepa,2.5 kg,cordless,699.99,115 AW,,,,,,
4.5 hrs,60 min,Whole-machine filtration,185 AW,,,In stock,0.77 L,,Dyson V11,,,https://www.dysoncanada.ca/en/vacuum-cleaners/cordless/v11/blue,3 kg,cordless,599.99,185 W,14 cyclones,,,,,
5 hrs,40 min,Whole machine filtration,,,,In stock,0.54 L,,Dyson V8,,,https://www.dysoncanada.ca/en/vacuum-cleaners/cordless/v8/silver-nickel,2.5 kg,cordless,599.99,115 AW,,,,,,
5 hrs,40 min,Whole-machine filtration,,,,In stock,0.54 L,,Dyson V8 Origin,,,https://www.dysoncanada.ca/en/vacuum-cleaners/cordless/v8/origin-red,2.5 kg,cordless,499.99,115 AW,,,,,,
,,Whole-machine filtration,290 AW,,,In stock,1.7 L,,Dyson Ball Animal 3 Complete,,,https://www.dysoncanada.ca/en/vacuum-cleaners/uprights/ball-animal-3/complete,7.85 kg,uprights,749.99,290 W,12 cyclones,,,15.25 m,10.67 m,
3.5 hrs,,Whole-machine filtration,,Up to 20 min,,In stock,0.2 L,,Dyson Omni-glide?,,,https://www.dysoncanada.ca/en/vacuum-cleaners/hard-floor/omni-glide/purple,1.9 kg,hard-floor,549.99,,8 Cyclones,,Omni directional soft roller,,,
,,Whole-machine filtration,290 AW,,,Currently out of stock.,1.7 L,,Dyson Ball Animal 3,,,https://www.dysoncanada.ca/en/vacuum-cleaners/uprights/ball-animal-3/nickel,7.85 kg,uprights,499.99,290 W,12 cyclones,,,15.25 m,10.67 m,
,,Advanced whole-machine filtration,,,,Currently out of stock.,1.5 L,,Dyson Big Ball Turbinehead,,,https://www.dysoncanada.ca/en/vacuum-cleaners/canisters/big-ball/turbinehead,8 kg,canisters,499.99,,,,Carbon fibre turbine head,10.75 m,6.6 m,
3.5 hrs,,Whole-machine filtration,,Up to 60 min,,In stock,0.77 L,,Dyson V10 Animal+ Refurbished Vacuum Cleaner,,,https://www.dysoncanada.ca/en/dyson-outlet/dyson-certified-refurbished-vacuum-cleaners/refurbished-dyson-v10-animal-vacuum-cleaner,2.6 kg,dyson-certified-refurbished-vacuum-cleaners,599.99,,14 cyclones,,,,,
5 hrs,,Whole-machine filtration,,Up to 40 min,115 W,In stock,0.54 L,,Dyson V8 Animal Vacuum Cleaner Refurbished (Colour may vary),,,https://www.dysoncanada.ca/en/dyson-outlet/dyson-certified-refurbished-vacuum-cleaners/refurbished-v8-animal-vacuum-cleaner,2.56 kg,dyson-certified-refurbished-vacuum-cleaners,424.99,,15 cyclones,,,,,
4.5 hrs,,Advancedwhole-machine filtration,,Up to 60 min,,In stock,0.76 L,,Dyson V15B Vacuum Cleaner Refurbished (Colour may vary),,,https://www.dysoncanada.ca/en/dyson-outlet/dyson-certified-refurbished-vacuum-cleaners/refurbished-dyson-v15b-detect-total-clean-vacuum-cleaner,3.1 kg,dyson-certified-refurbished-vacuum-cleaners,824.99,,14 cyclones,,,,,
4.54 hrs,,Advanced whole-machine filtration,185 AW,Up to 60 min,,In stock,0.76 L,,Dyson V11 Vacuum Cleaner Refurbished (Colour may vary),,,https://www.dysoncanada.ca/en/dyson-outlet/dyson-certified-refurbished-vacuum-cleaners/refurbished-dyson-v11b-vacuum-cleaner,2.97 kg,dyson-certified-refurbished-vacuum-cleaners,644.99,,14 concentric cyclones,,High torque & Soft Roller,,,
